N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Oberkulm;2776.00;295.00;602.00;1623.00;551.00;672.00;13.00;12.00;25.00;7.20;2.38;34.00;89.00;13.00;67.60;51.20;63.00;0.00;16.40
Reinach (AG);8874.00;937.10;1787.00;5355.00;1732.00;3711.00;-2.00;33.00;85.00;8.20;2.28;22.00;423.00;60.00;63.00;54.70;302.00;1.00;10.10
Schlossrued;822.00;113.40;153.00;511.00;158.00;65.00;2.00;4.00;5.00;7.70;2.31;36.00;46.00;3.00;67.70;38.30;28.00;0.00;-25.30
Schmiedrued;1160.00;134.10;224.00;721.00;215.00;108.00;2.00;4.00;14.00;9.10;2.38;43.00;46.00;3.00;73.10;51.50;7.00;0.00;4.30
Schöftland;4468.00;711.50;814.00;2677.00;977.00;768.00;-14.00;25.00;65.00;4.50;2.13;6.00;255.00;15.00;65.00;56.00;56.00;1.00;13.50
Teufenthal (AG);1682.00;471.10;300.00;1073.00;309.00;440.00;-2.00;8.00;15.00;5.60;2.21;10.00;64.00;2.00;74.80;49.20;55.00;0.00;25.30
Unterkulm;3343.00;376.50;688.00;2010.00;645.00;1033.00;10.00;10.00;27.00;7.20;2.30;26.00;166.00;98.00;65.40;53.20;172.00;0.00;61.10
Zetzwil;1363.00;235.00;279.00;807.00;277.00;186.00;-3.00;3.00;18.00;5.10;2.27;16.00;47.00;2.00;68.70;41.50;12.00;0.00;8.10
Eiken;2331.00;329.20;466.00;1485.00;380.00;537.00;7.00;5.00;15.00;6.10;2.34;9.00;96.00;26.00;69.30;57.10;30.00;0.00;9.10
Frick;5629.00;565.20;1115.00;3468.00;1046.00;1459.00;5.00;29.00;57.00;5.60;2.25;11.00;410.00;69.00;64.30;43.50;148.00;1.00;-1.80
Gansingen;1066.00;121.60;214.00;621.00;231.00;111.00;1.00;5.00;5.00;6.10;2.37;29.00;49.00;1.00;75.60;34.40;8.00;0.00;10.40
Gipf-Oberfrick;3731.00;366.90;753.00;2290.00;688.00;541.00;4.00;16.00;29.00;5.70;2.30;30.00;169.00;52.00;69.50;46.40;52.00;0.00;20.30
Herznach;1568.00;250.10;347.00;969.00;252.00;243.00;2.00;5.00;12.00;7.00;2.48;21.00;53.00;4.00;69.90;39.00;13.00;0.00;-10.80
Hornussen;1021.00;140.40;225.00;616.00;180.00;219.00;8.00;3.00;5.00;8.80;2.43;12.00;28.00;10.00;65.10;53.40;27.00;0.00;43.20
